Equipes;Joueurs;Position;Matchs Joués;Buts Marqués;Buts Assités;Nbre Minutes Jouées;Buts Comptés;Victoires;Défaites;Tirs Subits;Buts Alloués
Detroit Red Wings;Justin Abdelkader\abdelju01;AG;67;12;20;0;0;0;0;0;0
Toronto Maple Leafs;Pontus Aberg\abergpo01;AG;47;3;12;0;0;0;0;0;0
Nashville Predators;Pontus Aberg\abergpo01;AG;37;2;6;0;0;0;0;0;0
Edmonton Oilers;Pontus Aberg\abergpo01;AG;10;1;6;0;0;0;0;0;0
Boston Bruins;Noel Acciari\acciano01;C;51;8;1;0;0;0;0;0;0
Boston Bruins;Kenny Agostino\agostke01;AG;5;0;1;0;0;0;0;0;0
Carolina Hurricanes;Sebastian Aho\ahose01;AD;70;26;35;0;0;0;0;0;0
New York Islanders;Sebastian Aho\ahose02;D;22;1;3;0;0;0;0;0;0
Philadelphia Flyers;Mark Alt\altma01;D;8;0;0;0;0;0;0;0;0
Montreal Canadiens;Karl Alzner\alzneka01;D;75;1;9;0;0;0;0;0;0
Los Angeles Kings;Michael Amadio\amadimi01;C;32;4;3;0;0;0;0;0;0
Columbus Blue Jackets;Josh Anderson\anderjo05;AD;61;18;11;0;0;0;0;0;0
Calgary Flames;Rasmus Andersson\anderra01;D;3;0;0;0;0;0;0;0;0
Los Angeles Kings;Andy Andreoff\andrean01;AG;44;3;6;0;0;0;0;0;0
Colorado Avalanche;Sven Andrighetto\andrisv01;AD;45;6;13;0;0;0;0;0;0
Chicago Blackhawks;Artem Anisimov\anisiar01;C;65;20;9;0;0;0;0;0;0
Buffalo Sabres;Victor Antipin\antipvi01;D;45;0;10;0;0;0;0;0;0
Vancouver Canucks;Darren Archibald\archida02;AD;21;3;3;0;0;0;0;0;0
Toronto Maple Leafs;Josh Archibald\archijo01;AD;36;5;5;0;0;0;0;0;0
Arizona Coyotes;Josh Archibald\archijo01;AD;33;5;5;0;0;0;0;0;0
Pittsburgh Penguins;Josh Archibald\archijo01;AD;3;0;0;0;0;0;0;0;0
Winnipeg Jets;Joel Armia\armiajo01;AD;71;12;15;0;0;0;0;0;0
Nashville Predators;Viktor Arvidsson\arvidvi01;AG;71;27;29;0;0;0;0;0;0
Pittsburgh Penguins;Zach Aston-Reese\astonza01;C;10;4;2;0;0;0;0;0;0
Detroit Red Wings;Andreas Athanasiou\athanan01;AG;63;14;17;0;0;0;0;0;0
Columbus Blue Jackets;Cam Atkinson\atkinca01;AD;59;18;19;0;0;0;0;0;0
Los Angeles Kings;Justin Auger\augerju01;AD;2;0;0;0;0;0;0;0;0
Edmonton Oilers;Yohann Auvitu\auvityo01;D;30;3;6;0;0;0;0;0;0
Boston Bruins;David Backes\backeda01;AD;50;12;16;0;0;0;0;0;0
Calgary Flames;Mikael Backlund\backlmi01;C;75;13;28;0;0;0;0;0;0
Washington Capitals;Nicklas Backstrom\backsni02;C;73;19;38;0;0;0;0;0;0
Vancouver Canucks;Sven Baertschi\baertsv01;AG;53;14;15;0;0;0;0;0;0
New York Islanders;Josh Bailey\bailejo01;AD;70;18;51;0;0;0;0;0;0
Buffalo Sabres;Justin Bailey\baileju01;AD;12;3;1;0;0;0;0;0;0
Florida Panthers;Chase Balisy\balisch01;C;8;0;0;0;0;0;0;0;0
Buffalo Sabres;Nicholas Baptiste\baptini01;AD;25;4;1;0;0;0;0;0;0
St. Louis Blues;Ivan Barbashev\barbaiv01;C;45;7;6;0;0;0;0;0;0
Colorado Avalanche;Mark Barberio\barbema01;D;44;3;10;0;0;0;0;0;0
Florida Panthers;Aleksander Barkov\barkoal01;C;71;26;47;0;0;0;0;0;0
Colorado Avalanche;Tyson Barrie\barrity01;D;60;12;40;0;0;0;0;0;0
Calgary Flames;Matt Bartkowski\bartkma01;D;14;0;1;0;0;0;0;0;0
New York Islanders;Mathew Barzal\barzama01;C;74;20;56;0;0;0;0;0;0
Washington Capitals;Jay Beagle\beaglja01;AD;74;6;15;0;0;0;0;0;0
Edmonton Oilers;Ethan Bear\bearet01;D;11;0;2;0;0;0;0;0;0
Anaheim Ducks;Francois Beauchemin\beaucfr01;D;60;3;10;0;0;0;0;0;0
Buffalo Sabres;Nathan Beaulieu\beaulna01;D;54;1;8;0;0;0;0;0;0
New York Islanders;Anthony Beauvillier\beauvan01;AG;63;16;12;0;0;0;0;0;0
Boston Bruins;Matt Beleskey\belesma01;AG;14;0;0;0;0;0;0;0;0
Vegas Golden Knights;Pierre-Edouard Bellemare\bellepi01;AG;65;6;9;0;0;0;0;0;0
Dallas Stars;Jamie Benn\bennja01;AG;75;28;41;0;0;0;0;0;0
Montreal Canadiens;Jordie Benn\bennjo01;D;72;4;10;0;0;0;0;0;0
St. Louis Blues;Beau Bennett\bennebe01;AD;6;0;0;0;0;0;0;0;0
Calgary Flames;Sam Bennett\bennesa01;C;75;11;15;0;0;0;0;0;0
Edmonton Oilers;Matt Benning\bennima01;D;67;5;13;0;0;0;0;0;0
Boston Bruins;Patrice Bergeron\bergepa01;C;55;27;27;0;0;0;0;0;0
St. Louis Blues;Patrik Berglund\berglpa01;C;49;12;7;0;0;0;0;0;0
New York Islanders;Steve Bernier\bernist01;AD;4;0;0;0;0;0;0;0;0
Minnesota Wild;Christoph Bertschy\bertsch02;C;1;0;0;0;0;0;0;0;0
Detroit Red Wings;Tyler Bertuzzi\bertuty01;AG;40;2;16;0;0;0;0;0;0
Vancouver Canucks;Alex Biega\biegaal01;D;37;0;7;0;0;0;0;0;0
Anaheim Ducks;Kevin Bieksa\biekske01;D;59;0;8;0;0;0;0;0;0
Colorado Avalanche;Chris Bigras\bigrach01;D;15;0;1;0;0;0;0;0;0
Nashville Predators;Anthony Bitetto\bitetan01;D;28;1;2;0;0;0;0;0;0
Boston Bruins;Anders Bjork\bjorkan01;AG;30;4;8;0;0;0;0;0;0
Columbus Blue Jackets;Oliver Bjorkstrand\bjorkol01;AD;75;11;26;0;0;0;0;0;0
Florida Panthers;Nick Bjugstad\bjugsni01;C;72;17;28;0;0;0;0;0;0
St. Louis Blues;Samuel Blais\blaissa01;AG;11;1;2;0;0;0;0;0;0
Anaheim Ducks;Joseph Blandisi\blandjo01;AG;3;0;0;0;0;0;0;0;0
Boston Bruins;Anton Blidh\blidhan01;AG;1;0;0;0;0;0;0;0;0
Ottawa Senators;Mike Blunden\blundmi01;AD;1;0;0;0;0;0;0;0;0
San Jose Sharks;Mikkel Boedker\boedkmi01;AG;66;14;18;0;0;0;0;0;0
Vancouver Canucks;Brock Boeser\boesebr01;AD;62;29;26;0;0;0;0;0;0
Buffalo Sabres;Zach Bogosian\bogosza01;D;18;0;1;0;0;0;0;0;0
Anaheim Ducks;Jared Boll\bollja01;AD;10;1;0;0;0;0;0;0;0
Nashville Predators;Nick Bonino\boninni01;C;62;10;12;0;0;0;0;0;0
Detroit Red Wings;David Booth\boothda01;AG;26;4;1;0;0;0;0;0;0
Toronto Maple Leafs;Andreas Borgman\borgman01;D;48;3;8;0;0;0;0;0;0
Ottawa Senators;Mark Borowiecki\borowma01;D;43;3;7;0;0;0;0;0;0
St. Louis Blues;Robert Bortuzzo\borturo01;D;64;3;7;0;0;0;0;0;0
Vancouver Canucks;Reid Boucher\bouchre01;C;16;2;1;0;0;0;0;0;0
Chicago Blackhawks;Lance Bouma\boumala01;AG;53;3;6;0;0;0;0;0;0
Tampa Bay Lightning;Michael Bournival\bournmi01;AG;5;0;0;0;0;0;0;0;0
Colorado Avalanche;Gabriel Bourque\bourqga01;AG;50;5;6;0;0;0;0;0;0
St. Louis Blues;Jay Bouwmeester\bouwmja01;D;35;2;5;0;0;0;0;0;0
Washington Capitals;Madison Bowey\boweyma01;D;51;0;12;0;0;0;0;0;0
New York Islanders;Johnny Boychuk\boychjo01;D;53;5;11;0;0;0;0;0;0
Washington Capitals;Travis Boyd\boydtr01;C;7;0;1;0;0;0;0;0;0
New Jersey Devils;Brian Boyle\boylebr01;C;61;13;10;0;0;0;0;0;0
Toronto Maple Leafs;Tyler Bozak\bozakty01;C;73;11;29;0;0;0;0;0;0
Toronto Maple Leafs;Derick Brassard\brassde01;C;70;20;25;0;0;0;0;0;0
Ottawa Senators;Derick Brassard\brassde01;C;58;18;20;0;0;0;0;0;0
Pittsburgh Penguins;Derick Brassard\brassde01;C;12;2;5;0;0;0;0;0;0
New Jersey Devils;Jesper Bratt\brattje01;AG;70;13;22;0;0;0;0;0;0
San Jose Sharks;Justin Braun\braunju01;D;73;3;27;0;0;0;0;0;0
Florida Panthers;Connor Brickley\brickco01;AG;43;4;8;0;0;0;0;0;0
Calgary Flames;T.J. Brodie\broditj01;D;73;4;28;0;0;0;0;0;0
Minnesota Wild;Jonas Brodin\brodijo01;D;64;5;12;0;0;0;0;0;0
St. Louis Blues;Kyle Brodziak\brodzky01;C;73;10;16;0;0;0;0;0;0
Los Angeles Kings;Jonny Brodzinski\brodzjo01;C;34;4;2;0;0;0;0;0;0
Calgary Flames;Troy Brouwer\brouwtr01;AD;69;6;14;0;0;0;0;0;0
Toronto Maple Leafs;Connor Brown\brownco02;AD;74;13;13;0;0;0;0;0;0
Los Angeles Kings;Dustin Brown\browndu01;AD;74;23;30;0;0;0;0;0;0
Toronto Maple Leafs;J.T. Brown\brownjt01;AD;43;2;5;0;0;0;0;0;0
Tampa Bay Lightning;J.T. Brown\brownjt01;AD;24;1;3;0;0;0;0;0;0
Anaheim Ducks;J.T. Brown\brownjt01;AD;19;1;2;0;0;0;0;0;0
Ottawa Senators;Logan Brown\brownlo01;C;4;0;1;0;0;0;0;0;0
New York Rangers;Pavel Buchnevich\buchnpa01;AD;66;14;28;0;0;0;0;0;0
Washington Capitals;Andre Burakovsky\burakan01;AG;48;9;10;0;0;0;0;0;0
Ottawa Senators;Erik Burgdoerfer\burgder01;D;2;0;1;0;0;0;0;0;0
Vancouver Canucks;Alexander Burmistrov\burmial01;C;24;2;4;0;0;0;0;0;0
San Jose Sharks;Brent Burns\burnsbr01;D;74;11;48;0;0;0;0;0;0
Ottawa Senators;Alexandre Burrows\burroal01;AD;62;5;7;0;0;0;0;0;0
New Jersey Devils;Will Butcher\butchwi01;D;73;3;33;0;0;0;0;0;0
St. Louis Blues;Chris Butler\butlech01;D;2;0;0;0;0;0;0;0;0
Winnipeg Jets;Dustin Byfuglien\byfugdu01;D;62;5;34;0;0;0;0;0;0
Montreal Canadiens;Paul Byron\byronpa01;AG;75;18;14;0;0;0;0;0;0
Edmonton Oilers;Drake Caggiula\caggidr01;AG;59;12;6;0;0;0;0;0;0
Tampa Bay Lightning;Ryan Callahan\callary01;AD;63;4;11;0;0;0;0;0;0
Columbus Blue Jackets;Matt Calvert\calvema01;AG;62;8;14;0;0;0;0;0;0
Toronto Maple Leafs;Mike Cammalleri\cammami01;AG;62;5;22;0;0;0;0;0;0
Edmonton Oilers;Mike Cammalleri\cammami01;AG;47;2;18;0;0;0;0;0;0
Los Angeles Kings;Mike Cammalleri\cammami01;AG;15;3;4;0;0;0;0;0;0
Arizona Coyotes;Kyle Capobianco\capobky01;D;1;0;0;0;0;0;0;0;0
New York Rangers;Paul Carey\careypa01;C;56;7;6;0;0;0;0;0;0
Boston Bruins;Brandon Carlo\carlobr01;D;72;0;6;0;0;0;0;0;0
Washington Capitals;John Carlson\carlsjo01;D;74;15;46;0;0;0;0;0;0
Columbus Blue Jackets;Gabriel Carlsson\carlsga01;D;14;0;2;0;0;0;0;0;0
Toronto Maple Leafs;Ryan Carpenter\carpery01;C;44;9;5;0;0;0;0;0;0
Vegas Golden Knights;Ryan Carpenter\carpery01;C;28;9;4;0;0;0;0;0;0
San Jose Sharks;Ryan Carpenter\carpery01;C;16;0;1;0;0;0;0;0;0
Montreal Canadiens;Daniel Carr\carrda01;AG;32;4;10;0;0;0;0;0;0
Toronto Maple Leafs;Connor Carrick\carrico01;D;44;4;8;0;0;0;0;0;0
Carolina Hurricanes;Trevor Carrick\carritr01;D;1;0;0;0;0;0;0;0;0
Vegas Golden Knights;William Carrier\carriwi01;AG;34;1;2;0;0;0;0;0;0
Los Angeles Kings;Jeff Carter\carteje01;C;20;8;6;0;0;0;0;0;0
New York Rangers;Daniel Catenacci\catenda01;C;1;0;0;0;0;0;0;0;0
Boston Bruins;Colby Cave\caveco01;C;1;0;0;0;0;0;0;0;0
Ottawa Senators;Cody Ceci\cecico01;D;73;5;14;0;0;0;0;0;0
Boston Bruins;Peter Cehlarik\cehlape01;AG;6;1;1;0;0;0;0;0;0
Ottawa Senators;Thomas Chabot\chaboth01;D;54;6;15;0;0;0;0;0;0
Vancouver Canucks;Michael Chaput\chapumi01;C;9;0;0;0;0;0;0;0;0
Boston Bruins;Zdeno Chara\charazd01;D;68;7;16;0;0;0;0;0;0
Winnipeg Jets;Ben Chiarot\chiarbe01;D;49;2;10;0;0;0;0;0;0
Washington Capitals;Alex Chiasson\chiasal01;AD;55;8;7;0;0;0;0;0;0
Toronto Maple Leafs;Jason Chimera\chimeja01;AG;68;3;10;0;0;0;0;0;0
New York Islanders;Jason Chimera\chimeja01;AG;58;2;9;0;0;0;0;0;0
Anaheim Ducks;Jason Chimera\chimeja01;AG;10;1;1;0;0;0;0;0;0
Ottawa Senators;Filip Chlapik\chlapfi01;C;12;1;2;0;0;0;0;0;0
Washington Capitals;Taylor Chorney\chornta01;D;24;1;3;0;0;0;0;0;0
Arizona Coyotes;Jakob Chychrun\chychja01;D;44;2;10;0;0;0;0;0;0
New York Rangers;Filip Chytil\chytifi01;C;2;0;0;0;0;0;0;0;0
Tampa Bay Lightning;Anthony Cirelli\cirelan01;C;10;3;5;0;0;0;0;0;0
New York Islanders;Casey Cizikas\cizikca01;C;63;7;10;0;0;0;0;0;0
Ottawa Senators;Fredrik Claesson\claesfr01;D;55;1;6;0;0;0;0;0;0
Arizona Coyotes;Adam Clendening\clendad01;D;5;0;2;0;0;0;0;0;0
Los Angeles Kings;Kyle Clifford\cliffky01;AG;43;5;3;0;0;0;0;0;0
New York Islanders;Cal Clutterbuck\cluttca01;AD;68;8;9;0;0;0;0;0;0
Tampa Bay Lightning;Braydon Coburn\coburbr01;D;64;1;12;0;0;0;0;0;0
Anaheim Ducks;Andrew Cogliano\coglian01;AG;73;8;20;0;0;0;0;0;0
Toronto Maple Leafs;Ian Cole\coleia01;D;60;5;14;0;0;0;0;0;0
Pittsburgh Penguins;Ian Cole\coleia01;D;47;3;10;0;0;0;0;0;0
Columbus Blue Jackets;Ian Cole\coleia01;D;13;2;4;0;0;0;0;0;0
New Jersey Devils;Blake Coleman\colembl01;C;71;11;10;0;0;0;0;0;0
Colorado Avalanche;Blake Comeau\comeabl01;AG;71;12;19;0;0;0;0;0;0
Colorado Avalanche;J.T. Compher\comphj.01;AG;61;13;9;0;0;0;0;0;0
Tampa Bay Lightning;Cory Conacher\conacco01;AG;32;8;3;0;0;0;0;0;0
Arizona Coyotes;Kevin Connauton\connake01;D;66;7;8;0;0;0;0;0;0
Washington Capitals;Brett Connolly\connobr01;AD;63;15;10;0;0;0;0;0;0
Winnipeg Jets;Kyle Connor\connoky01;AG;68;28;19;0;0;0;0;0;0
Winnipeg Jets;Andrew Copp\coppan01;C;74;5;16;0;0;0;0;0;0
Pittsburgh Penguins;Frank Corrado\corrafr01;D;5;0;0;0;0;0;0;0;0
Arizona Coyotes;Nick Cousins\cousini01;C;63;12;6;0;0;0;0;0;0
San Jose Sharks;Logan Couture\coutulo01;C;70;31;25;0;0;0;0;0;0
